	x	f(x)	f'(x)
	0.00	0.00	NaN
	0.01	0.00	0.02
	0.02	0.00	0.04
	0.03	0.00	0.06
	0.04	0.00	0.08
	0.05	0.00	0.10
	0.06	0.00	0.12
	0.07	0.00	0.14
	0.08	0.01	0.16
	0.09	0.01	0.18
	0.10	0.01	0.20
	0.11	0.01	0.22
	0.12	0.01	0.24
	0.13	0.02	0.26
	0.14	0.02	0.28
	0.15	0.02	0.30
	0.16	0.03	0.32
	0.17	0.03	0.34
	0.18	0.03	0.36
	0.19	0.04	0.38
	0.20	0.04	0.40
	0.21	0.04	0.42
	0.22	0.05	0.44
	0.23	0.05	0.46
	0.24	0.06	0.48
	0.25	0.06	0.50
	0.26	0.07	0.52
	0.27	0.07	0.54
	0.28	0.08	0.56
	0.29	0.08	0.58
	0.30	0.09	0.60
	0.31	0.10	0.62
	0.32	0.10	0.64
	0.33	0.11	0.66
	0.34	0.12	0.68
	0.35	0.12	0.70
	0.36	0.13	0.72
	0.37	0.14	0.74
	0.38	0.14	0.76
	0.39	0.15	0.78
	0.40	0.16	0.80
	0.41	0.17	0.82
	0.42	0.18	0.84
	0.43	0.18	0.86
	0.44	0.19	0.88
	0.45	0.20	0.90
	0.46	0.21	0.92
	0.47	0.22	0.94
	0.48	0.23	0.96
	0.49	0.24	0.98
	0.50	0.25	1.00
	0.51	0.26	1.02
	0.52	0.27	1.04
	0.53	0.28	1.06
	0.54	0.29	1.08
	0.55	0.30	1.10
	0.56	0.31	1.12
	0.57	0.32	1.14
	0.58	0.34	1.16
	0.59	0.35	1.18
	0.60	0.36	1.20
	0.61	0.37	1.22
	0.62	0.38	1.24
	0.63	0.40	1.26
	0.64	0.41	1.28
	0.65	0.42	1.30
	0.66	0.44	1.32
	0.67	0.45	1.34
	0.68	0.46	1.36
	0.69	0.48	1.38
	0.70	0.49	1.40
	0.71	0.50	1.42
	0.72	0.52	1.44
	0.73	0.53	1.46
	0.74	0.55	1.48
	0.75	0.56	1.50
	0.76	0.58	1.52
	0.77	0.59	1.54
	0.78	0.61	1.56
	0.79	0.62	1.58
	0.80	0.64	1.60
	0.81	0.66	1.62
	0.82	0.67	1.64
	0.83	0.69	1.66
	0.84	0.71	1.68
	0.85	0.72	1.70
	0.86	0.74	1.72
	0.87	0.76	1.74
	0.88	0.77	1.76
	0.89	0.79	1.78
	0.90	0.81	1.80
	0.91	0.83	1.82
	0.92	0.85	1.84
	0.93	0.86	1.86
	0.94	0.88	1.88
	0.95	0.90	1.90
	0.96	0.92	1.92
	0.97	0.94	1.94
	0.98	0.96	1.96
	0.99	0.98	1.98
	1.00	1.00	2.00
	1.01	1.02	2.02
	1.02	1.04	2.04
	1.03	1.06	2.06
	1.04	1.08	2.08
	1.05	1.10	2.10
	1.06	1.12	2.12
	1.07	1.14	2.14
	1.08	1.17	2.16
	1.09	1.19	2.18
	1.10	1.21	2.20
	1.11	1.23	2.22
	1.12	1.25	2.24
	1.13	1.28	2.26
	1.14	1.30	2.28
	1.15	1.32	2.30
	1.16	1.35	2.32
	1.17	1.37	2.34
	1.18	1.39	2.36
	1.19	1.42	2.38
	1.20	1.44	2.40
	1.21	1.46	2.42
	1.22	1.49	2.44
	1.23	1.51	2.46
	1.24	1.54	2.48
	1.25	1.56	2.50
	1.26	1.59	2.52
	1.27	1.61	2.54
	1.28	1.64	2.56
	1.29	1.66	2.58
	1.30	1.69	2.60
	1.31	1.72	2.62
	1.32	1.74	2.64
	1.33	1.77	2.66
	1.34	1.80	2.68
	1.35	1.82	2.70
	1.36	1.85	2.72
	1.37	1.88	2.74
	1.38	1.90	2.76
	1.39	1.93	2.78
	1.40	1.96	2.80
	1.41	1.99	2.82
	1.42	2.02	2.84
	1.43	2.04	2.86
	1.44	2.07	2.88
	1.45	2.10	2.90
	1.46	2.13	2.92
	1.47	2.16	2.94
	1.48	2.19	2.96
	1.49	2.22	2.98
	1.50	2.25	3.00
	1.51	2.28	3.02
	1.52	2.31	3.04
	1.53	2.34	3.06
	1.54	2.37	3.08
	1.55	2.40	3.10
	1.56	2.43	3.12
	1.57	2.46	3.14
	1.58	2.50	3.16
	1.59	2.53	3.18
	1.60	2.56	3.20
	1.61	2.59	3.22
	1.62	2.62	3.24
	1.63	2.66	3.26
	1.64	2.69	3.28
	1.65	2.72	3.30
	1.66	2.76	3.32
	1.67	2.79	3.34
	1.68	2.82	3.36
	1.69	2.86	3.38
	1.70	2.89	3.40
	1.71	2.92	3.42
	1.72	2.96	3.44
	1.73	2.99	3.46
	1.74	3.03	3.48
	1.75	3.06	3.50
	1.76	3.10	3.52
	1.77	3.13	3.54
	1.78	3.17	3.56
